Ticker,FundName,Exchange,Reason
ACIO,Aptus Collared Investment Opportunity ETF,BTS,No parsable Morningstar management team section
APRH,Innovator Premium Income 20 Barrier ETF - April,BTS,No parsable Morningstar management team section
APRJ,Innovator Premium Income 30 Barrier ETF - April,BTS,No parsable Morningstar management team section
BALI,iShares U.S. Large Cap Premium Income Active ETF,BTS,No parsable Morningstar management team section
BUYW,Main Buywrite ETF,BTS,No parsable Morningstar management team section
CAOS,Alpha Architect Tail Risk ETF,BTS,No parsable Morningstar management team section
CLSE,Convergence Long/Short Equity ETF,BTS,No parsable Morningstar management team section
EQLS,Simplify Market Neutral Equity Long/Short ETF,PCX,No parsable Morningstar management team section
FHEQ,Fidelity Hedged Equity ETF,BTS,No parsable Morningstar management team section
GMOM,Cambria Global Momentum ETF,BTS,No parsable Morningstar management team section
HEGD,Swan Hedged Equity US Large Cap ETF,BTS,No parsable Morningstar management team section
HTUS,Hull Tactical US ETF,BTS,No parsable Morningstar management team section
HYGW,iShares High Yield Corporate Bond Buywrite Strategy ETF,BTS,No parsable Morningstar management team section
ISMF,iShares Managed Futures Active ETF,BTS,No parsable Morningstar management team section
IVVW,iShares S&P 500 BuyWrite ETF,BTS,No parsable Morningstar management team section
IWMI,NEOS Russell 2000 High Income ETF,BTS,No parsable Morningstar management team section
IWMW,iShares Russell 2000 BuyWrite ETF,BTS,No parsable Morningstar management team section
JANH,Innovator Premium Income 20 Barrier ETF - January,BTS,No parsable Morningstar management team section
JANJ,Innovator Premium Income 30 Barrier ETF - January,BTS,No parsable Morningstar management team section
JULH,Innovator Premium Income 20 Barrier ETF - July,BTS,No parsable Morningstar management team section
JULJ,Innovator Premium Income 30 Barrier ETF - July,BTS,No parsable Morningstar management team section
KHPI,Kensington Hedged Premium Income ETF,BTS,No parsable Morningstar management team section
LAPR,Innovator Premium Income 15 Buffer ETF - April,BTS,No parsable Morningstar management team section
LJAN,Innovator Premium Income 15 Buffer ETF - January,BTS,No parsable Morningstar management team section
LJUL,Innovator Premium Income 15 Buffer ETF - July,BTS,No parsable Morningstar management team section
LOCT,Innovator Premium Income 15 Buffer ETF - October,BTS,No parsable Morningstar management team section
LQDW,iShares Investment Grade Corporate Bond Buywrite Strategy ETF,BTS,No parsable Morningstar management team section
MFUT,Cambria Chesapeake Pure Trend E,BTS,No parsable Morningstar management team section
MSMR,McElhenny Sheffield Managed Risk ETF,BTS,No parsable Morningstar management team section
NUSI,NEOS Nasdaq-100 Hedged Equity Income ETF,NGM,No parsable Morningstar management team section
OCTH,Innovator Premium Income 20 Barrier ETF - October,BTS,No parsable Morningstar management team section
OCTJ,Innovator Premium Income 30 Barrier ETF - October,BTS,No parsable Morningstar management team section
OVLH,Overlay Shares Hedged Large Cap Equity ETF,BTS,No parsable Morningstar management team section
PBP,Invesco S&P 500 BuyWrite ETF,BTS,No parsable Morningstar management team section
QDTE,Roundhill Innovation-100 0DTE Covered Call Strategy ETF,BTS,No parsable Morningstar management team section
RDTE,Roundhill Russell 2000 0DTE Covered Call Strategy ETF,BTS,No parsable Morningstar management team section
RSBA,Return Stacked Bonds & Merger Arbitrage ETF,BTS,No parsable Morningstar management team section
RSBT,Return Stacked Bonds & Managed Futures ETF,BTS,No parsable Morningstar management team section
RSST,Return Stacked U.S. Stocks & Managed Futures ETF,BTS,No parsable Morningstar management team section
SHDG,Soundwatch Hedged Equity ETF,BTS,No parsable Morningstar management team section
SPIN,State Street US Equity Premium Income ETF,BTS,No parsable Morningstar management team section
SPYI,Neos S&P 500(R) High Income ETF,BTS,No parsable Morningstar management team section
TAIL,Cambria Tail Risk ETF,BTS,No parsable Morningstar management team section
TLTP,Amplify TLT U.S. Treasury 12% Option Income ETF,BTS,No parsable Morningstar management team section
TLTW,iShares 20+ Year Treasury Bond Buywrite Strategy ETF,BTS,No parsable Morningstar management team section
XDTE,Roundhill S&P 500 0DTE Covered Call Strategy ETF,BTS,No parsable Morningstar management team section
XIDE,FT Vest U.S. Equity Buffer & Premium Income ETF - December,BTS,No parsable Morningstar management team section
XIJN,FT Vest U.S. Equity Buffer & Premium Income ETF - June,BTS,No parsable Morningstar management team section
XIMR,FT Vest U.S. Equity Buffer & Premium Income ETF - March,BTS,No parsable Morningstar management team section
XISE,FT Vest U.S. Equity Buffer & Premium Income ETF – September,BTS,No parsable Morningstar management team section
YBTC,Roundhill Bitcoin Covered Call Strategy ETF,BTS,No parsable Morningstar management team section
YETH,Roundhill Ether Covered Call Strategy ETF,BTS,No parsable Morningstar management team section
